resolution,mean_total_time,std_total_time,mean_sinkhorn_time,mean_interpolation_time,n_experiments
32,0.37744889259338377,1.1028764234666308,0.37744821310043336,6.794929504394531e-07,48
48,0.1757829189300537,0.13486856653570856,0.1757822036743164,7.152557373046875e-07,2
64,0.407565712928772,0.08399141982426793,0.4075648784637451,8.344650268554688e-07,2
96,1.6106345653533936,,1.6106338500976562,7.152557373046875e-07,1
