experiment_id,image_pair,resolution,lambda,blur,reach,splatting,t,psnr,delta_e,tearing_pct,coverage,mass_error,sharpness,compute_time_total,compute_time_per_frame,sinkhorn_time,interpolation_time,memory_allocated_gb,memory_max_allocated_gb,regime,mean_displacement,max_displacement,std_displacement,mean_divergence,mean_curl,mean_laplacian,smoothness_score
1,salameche_strawberry,64,0.0,0.03,0.1,True,0.5,12.514225157733414,27.037078857421875,0.0,1.0,0.0004040211304754884,0.03816405311226845,0.5958831310272217,0.5958831310272217,0.5958826541900635,4.76837158203125e-07,0.086137344,4.258202624,,,,,,,,
2,salameche_strawberry,64,0.25,0.03,0.1,True,0.5,12.252445962142236,27.943241119384766,0.0,1.0,0.003552615113476128,0.041571084409952164,0.29407215118408203,0.29407215118408203,0.29407167434692383,4.76837158203125e-07,0.082440704,4.258202624,,,,,,,,
3,salameche_strawberry,64,0.5,0.03,0.1,True,0.5,11.088543319608476,30.204689025878906,0.0,1.0,0.05030495414638217,0.04176485911011696,0.35736894607543945,0.35736894607543945,0.35736799240112305,9.5367431640625e-07,0.077629952,4.258202624,,,,,,,,
4,salameche_strawberry,64,0.75,0.03,0.1,True,0.5,9.707507502687411,34.697383880615234,0.0,0.99169921875,0.02643173802792879,0.04958764836192131,0.3629496097564697,0.3629496097564697,0.3629486560821533,9.5367431640625e-07,0.07645696,4.258202624,,,,,,,,
5,salameche_strawberry,64,1.0,0.03,0.1,True,0.5,8.732960770413317,38.43532943725586,0.0,0.963134765625,0.04701942564068079,0.03510679304599762,0.2971937656402588,0.2971937656402588,0.2971928119659424,9.5367431640625e-07,0.076159488,4.258202624,,,,,,,,
6,salameche_strawberry,64,1.25,0.03,0.1,True,0.5,8.44099840821876,39.626346588134766,0.0,0.960693359375,0.029480684823048612,0.035125527530908585,0.35780811309814453,0.35780811309814453,0.3578073978424072,7.152557373046875e-07,0.076056576,4.258202624,,,,,,,,
7,salameche_strawberry,64,1.5,0.03,0.1,True,0.5,8.205741145879873,40.77302551269531,0.0,0.95849609375,0.019673151437785166,0.0364527627825737,0.2921295166015625,0.2921295166015625,0.2921288013458252,7.152557373046875e-07,0.076000768,4.258202624,,,,,,,,
8,salameche_strawberry,64,1.75,0.03,0.1,True,0.5,8.04798454762268,41.7447395324707,0.0,0.956298828125,0.01642368878524581,0.03941650688648224,0.2952272891998291,0.2952272891998291,0.2952263355255127,9.5367431640625e-07,0.07596032,4.258202624,,,,,,,,
9,salameche_strawberry,64,2.0,0.03,0.1,True,0.5,7.915649478015878,42.68324279785156,0.0,0.95556640625,0.017095567985595774,0.040686704218387604,0.30031800270080566,0.30031800270080566,0.30031752586364746,4.76837158203125e-07,0.075920896,4.258202624,,,,,,,,
10,salameche_strawberry,64,2.5,0.03,0.1,True,0.5,7.73615631056964,44.181175231933594,0.0,0.949951171875,0.0361237449637588,0.04138144105672836,0.33048081398010254,0.33048081398010254,0.33048033714294434,4.76837158203125e-07,0.075856384,4.258202624,,,,,,,,
11,salameche_strawberry,64,3.0,0.03,0.1,True,0.5,7.539591629071783,45.5279655456543,0.0,0.94287109375,0.05837406197842934,0.043240077793598175,0.31517791748046875,0.31517791748046875,0.31517720222473145,7.152557373046875e-07,0.075832832,4.258202624,,,,,,,,
12,salameche_strawberry,64,0.0,0.03,0.1,True,0.0,6.870318327959593,51.178077697753906,0.0,1.0,2.8935137342696194e-06,0.06658065319061279,1.7896454334259033,0.08522121111551921,1.789644718170166,7.152557373046875e-07,0.086137344,4.258202624,,,,,,,,
12,salameche_strawberry,64,0.0,0.03,0.1,True,0.05,7.32370255999752,48.7412109375,0.0,1.0,2.175373097897442e-05,0.06242791563272476,1.7896454334259033,0.08522121111551921,1.789644718170166,7.152557373046875e-07,0.086137344,4.258202624,,,,,,,,
12,salameche_strawberry,64,0.0,0.03,0.1,True,0.1,7.793784502469977,46.3331184387207,0.0,1.0,4.385851335021147e-05,0.05876869708299637,1.7896454334259033,0.08522121111551921,1.789644718170166,7.152557373046875e-07,0.086137344,4.258202624,,,,,,,,
12,salameche_strawberry,64,0.0,0.03,0.1,True,0.15,8.284972650007955,43.925254821777344,0.0,1.0,8.039142953516885e-05,0.05546629801392555,1.7896454334259033,0.08522121111551921,1.789644718170166,7.152557373046875e-07,0.086137344,4.258202624,,,,,,,,
